Quotazioni Napoli  - Fantagazzetta;;;;;;
Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.
408;A;HIGUAIN;Juventus;35;38;-3
277;A;ICARDI;Inter;33,3;31,3;2
441;A;BELOTTI;Torino;33;24;9
785;A;IMMOBILE;Lazio;31,1;26,1;5
647;A;DZEKO;Roma;31;24;7
409;A;INSIGNE;Napoli;30,1;24,1;6
309;A;DYBALA;Juventus;29;33;-4
410;A;MERTENS;Napoli;27,2;15,2;12
507;A;MURIEL;Sampdoria;25,3;17,3;8
652;A;KALINIC;Fiorentina;25,3;22,3;3
646;A;SALAH;Roma;25,1;27,1;-2
406;A;CALLEJON;Napoli;24,3;19,3;5
377;A;BACCA;Milan;23,1;27,1;-4
722;A;BORRIELLO;Cagliari;21,3;16,3;5
608;A;ZAPATA D;Udinese;21,2;21,2;0
475;A;IAGO FALQUE;Torino;21,1;19,1;2
606;A;THEREAU;Udinese;20,1;19,1;1
643;A;DEFREL;Sassuolo;20,1;18,1;2
345;A;KEITA B;Lazio;20,1;14,1;6
795;A;EL SHAARAWY;Roma;20;25;-5
478;A;LJAJIC;Torino;19;19;0
568;A;QUAGLIARELLA;Sampdoria;19;19;0
312;A;MANDZUKIC;Juventus;17,3;19,3;-2
2012;A;MILIK;Napoli;16,3;23,3;-7
247;A;PAVOLETTI;Napoli;16;26;-10
472;A;DESTRO;Bologna;15,2;20,2;-5
2061;A;SIMEONE;Genoa;14,4;10,4;4
383;A;PETAGNA;Atalanta;14,1;4,1;10
1943;A;NESTOROVSKI;Palermo;14;11;3
1939;A;LAPADULA;Milan;14;17;-3
123;A;INGLESE;Chievo;13,3;12,3;1
531;A;BERARDI;Sassuolo;13,2;20,2;-7
536;A;POLITANO;Sassuolo;13,1;10,1;3
532;A;FALCINELLI;Crotone;12,3;6,3;6
506;A;EDER;Inter;12,3;12,3;0
1974;A;SCHICK;Sampdoria;12,1;3,1;9
1958;A;CAPRARI;Pescara;11,2;15,2;-4
124;A;MEGGIORINI;Chievo;11;13;-2
1882;A;SAU;Cagliari;11;11;0
2082;A;GABIGOL;Inter;10,4;18,4;-8
2119;A;DEULOFEU;Milan;10,3;8,3;2
153;A;MACCARONE;Empoli;10,2;15,2;-5
1879;A;FARIAS;Cagliari;10,2;15,2;-5
127;A;PELLISSIER;Chievo;10,1;5,1;5
380;A;MATRI;Sassuolo;10;10;0
126;A;PALOSCHI;Atalanta;9,2;21,2;-12
183;A;BABACAR;Fiorentina;9;11;-2
480;A;TOTTI;Roma;8,3;13,3;-5
1909;A;PALLADINO;Genoa;8,2;8,2;0
156;A;PUCCIARELLI;Empoli;8,1;12,1;-4
2002;A;CHIESA;Fiorentina;8;1;7
1998;A;PJACA;Juventus;7,3;17,3;-10
566;A;MAXI LOPEZ;Torino;7,3;5,3;2
605;A;PERICA;Udinese;7,2;7,2;0
2073;A;RAGUSA;Sassuolo;7;8;-1
154;A;MCHEDLIDZE;Empoli;7;3;4
789;A;TROTTA;Crotone;6,1;4,1;2
477;A;ITURBE;Torino;6;8;-2
698;A;GILARDINO;Pescara;6;17;-11
2085;A;LUIS ALBERTO;Lazio;5,4;13,4;-8
2068;A;BAHEBECK;Pescara;5,4;9,4;-4
306;A;CERRI;Pescara;5,3;2,3;3
37;A;MARILUNGO;Empoli;5,2;8,2;-3
344;A;DJORDJEVIC;Lazio;5,2;11,2;-6
39;A;PINILLA;Genoa;5,1;10,1;-5
1981;A;BOYE';Torino;5;3;2
280;A;PALACIO;Inter;5;8;-3
1881;A;MELCHIORRI;Cagliari;5;6;-1
2013;A;RICCI;Sassuolo;4,3;6,3;-2
448;A;TRAJKOVSKI;Palermo;4,3;8,3;-4
1997;A;SIMY;Crotone;4,2;7,2;-3
1973;A;BUDIMIR;Sampdoria;4,2;10,2;-6
2010;A;SALLAI;Palermo;4,1;4,1;0
2086;A;IEMMELLO;Sassuolo;3,4;7,4;-4
2112;A;THIAM;Empoli;3,3;4,3;-1
245;A;PANDEV;Genoa;3,3;3,3;0
2114;A;PETKOVIC;Bologna;3,1;4,1;-1
92;A;MATOS;Udinese;3;6;-3
2110;A;STEFAN SILVA;Palermo;2,4;4,4;-2
182;A;ACOSTY;Crotone;2,2;3,2;-1
783;A;BALOGH;Palermo;2,1;3,1;-1
2032;A;HAGI;Fiorentina;1,4;1,4;0
2040;A;LOMBARDI;Lazio;1,4;2,4;-1
2097;A;KEAN;Juventus;1,3;1,3;0
764;A;SADIQ;Bologna;1,3;3,3;-2
1988;A;EWANDRO;Udinese;1,3;3,3;-2
2137;A;SCAMACCA;Sassuolo;1,2;1,2;0
2131;A;RANEGIE;Udinese;1,2;2,2;-1
2089;A;PESIC;Atalanta;1,2;5,2;-4
2048;A;LO FASO;Palermo;1,2;1,2;0
1906;A;NALINI;Crotone;1,2;3,2;-2
