Quotazioni Napoli  - Fantagazzetta;;;;;;
Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.
26;C;GOMEZ A;Atalanta;28,3;18,3;10
402;C;HAMSIK;Napoli;25;20;5
332;C;CANDREVA;Inter;23,3;20,3;3
467;C;NAINGGOLAN;Roma;22,1;16,1;6
704;C;PERISIC;Inter;20,3;17,3;3
469;C;PJANIC;Juventus;20,3;22,3;-2
335;C;FELIPE ANDERSON;Lazio;20,1;17,1;3
375;C;SUSO;Milan;20,1;13,1;7
237;C;PEROTTI;Roma;19,3;16,3;3
177;C;ILICIC;Fiorentina;18,2;23,2;-5
184;C;BERNARDESCHI;Fiorentina;17,1;13,1;4
470;C;STROOTMAN;Roma;17,1;13,1;4
152;C;ZIELINSKI;Napoli;16,3;9,3;7
111;C;BIRSA;Chievo;16,2;12,2;4
299;C;KHEDIRA;Juventus;16;16;0
367;C;BONAVENTURA;Milan;15,3;16,3;-1
713;C;DZEMAILI;Bologna;15,3;9,3;6
1929;C;BANEGA;Inter;15,2;14,2;1
2078;C;JOAO MARIO;Inter;15,1;17,1;-2
697;C;CUADRADO;Juventus;14,4;15,4;-1
338;C;LULIC;Lazio;14,3;11,3;3
556;C;BASELLI;Torino;14,3;13,3;1
172;C;BORJA VALERO;Fiorentina;13,3;16,3;-3
376;C;VERDI;Bologna;13,2;12,2;1
342;C;PAROLO;Lazio;13,1;11,1;2
590;C;BRUNO FERNANDES;Sampdoria;13,1;12,1;1
1850;C;KESSIE';Atalanta;12,2;8,2;4
530;C;PELLEGRINI;Sassuolo;12,2;8,2;4
112;C;CASTRO;Chievo;12,1;9,1;3
557;C;BENASSI;Torino;12,1;9,1;3
1986;C;FOFANA;Udinese;12,1;6,1;6
645;C;MILINKOVIC-SAVIC;Lazio;12;6;6
28;C;KURTIC;Atalanta;11,3;9,3;2
1858;C;KREJCI;Bologna;11,3;11,3;0
428;C;BENALI;Pescara;11,3;9,3;2
150;C;SAPONARA;Fiorentina;11,2;17,2;-6
2065;C;PRAET;Sampdoria;11,2;12,2;-1
1852;C;SPINAZZOLA;Atalanta;11,1;6,1;5
801;C;GAGLIARDINI;Inter;11;1;10
397;C;ALLAN;Napoli;11;16;-5
236;C;LAZOVIC;Genoa;10,3;9,3;1
589;C;BADU;Udinese;10,3;9,3;1
146;C;CROCE;Empoli;10,2;5,2;5
265;C;BROZOVIC;Inter;10,2;11,2;-1
234;C;KUCKA;Milan;10,2;10,2;0
788;C;FREULER;Atalanta;10,1;4,1;6
1987;C;JANKTO;Udinese;10,1;3,1;7
794;C;TELLO C;Fiorentina;10,1;11,1;-1
1923;C;OCAMPOS;Milan;10;14;-4
170;C;BADELJ;Fiorentina;10;8;2
1873;C;DI GENNARO D;Cagliari;9,3;7,3;2
300;C;MARCHISIO;Juventus;9,3;12,3;-3
2008;C;LINETTY;Sampdoria;9,3;7,3;2
270;C;KONDOGBIA;Inter;9,2;9,2;0
468;C;PAREDES;Roma;9,2;9,2;0
331;C;BIGLIA;Lazio;9,1;13,1;-4
784;C;DIAMANTI;Palermo;9,1;13,1;-4
235;C;LAXALT;Genoa;9;10;-1
494;C;BARRETO E;Sampdoria;9;5;4
1996;C;DE PAUL;Udinese;9;8;1
2111;C;TAARABT;Genoa;8,4;9,4;-1
272;C;MEDEL;Inter;8,3;7,3;1
404;C;JORGINHO;Napoli;8,3;11,3;-3
1972;C;TORREIRA;Sampdoria;8,3;3,3;5
1955;C;MEMUSHAJ;Pescara;8,2;11,2;-3
1857;C;DI FRANCESCO F;Bologna;8,1;7,1;1
1874;C;JOAO PEDRO;Cagliari;8,1;11,1;-3
433;C;HILJEMARK;Genoa;8,1;9,1;-1
121;C;STOIAN;Crotone;8;5;3
399;C;DE GUZMAN;Chievo;8;3;5
2077;C;PASALIC;Milan;7,4;7,4;0
631;C;VIVIANI;Bologna;7,4;7,4;0
21;C;D'ALESSANDRO;Atalanta;7,3;9,3;-2
431;C;CHOCHEV;Palermo;7,3;4,3;3
118;C;RADOVANOVIC;Chievo;7,2;5,2;2
148;C;KRUNIC;Empoli;7,2;4,2;3
438;C;RIGONI;Genoa;7,2;9,2;-2
366;C;BERTOLACCI;Milan;7,2;9,2;-2
463;C;DE ROSSI;Roma;7,2;9,2;-2
626;C;HALLFREDSSON;Udinese;7,2;7,2;0
2014;C;ROHDEN;Crotone;7,2;5,2;2
2079;C;BRUNO HENRIQUE;Palermo;7,2;8,2;-1
1870;C;BARELLA;Cagliari;7,1;3,1;4
238;C;RINCON;Juventus;7;12;-5
181;C;VECINO;Fiorentina;7;9;-2
2081;C;KUMS;Udinese;7;8;-1
2063;C;JOSE' SOSA;Milan;6,4;10,4;-4
600;C;VERRE;Pescara;6,3;8,3;-2
2126;C;GRENIER;Roma;6,3;8,3;-2
1859;C;NAGY;Bologna;6,2;6,2;0
641;C;NTCHAM;Genoa;6,2;6,2;0
702;C;GIACCHERINI;Napoli;6,2;9,2;-3
779;C;CRISTANTE;Atalanta;6,2;5,2;1
827;C;LOCATELLI M;Milan;6,2;1,2;5
58;C;DIAWARA;Napoli;6,1;5,1;1
275;C;TAIDER;Bologna;6,1;7,1;-1
147;C;DIOUSSE';Empoli;6,1;5,1;1
241;C;TACHTSIDIS;Cagliari;6,1;4,1;2
526;C;DUNCAN;Sassuolo;6,1;9,1;-3
295;C;ASAMOAH;Juventus;6;6;0
401;C;EL KADDOURI;Empoli;6;5;1
2123;C;MUNTARI;Pescara;5,4;5,4;0
115;C;HETEMAJ;Chievo;5,3;7,3;-2
1901;C;BARBERIS;Crotone;5,3;2,3;3
2058;C;SANCHEZ;Fiorentina;5,3;5,3;0
57;C;CRISETIG;Crotone;5,2;3,2;2
712;C;LEMINA;Juventus;5,2;8,2;-3
305;C;STURARO;Juventus;5,2;7,2;-2
27;C;GRASSI;Atalanta;5,2;4,2;1
405;C;VALDIFIORI;Torino;5,2;5,2;0
430;C;BRUGMAN;Pescara;5,2;5,2;0
555;C;ACQUAH;Torino;5,2;7,2;-2
1872;C;DESSENA;Cagliari;5,1;6,1;-1
116;C;IZCO;Chievo;5,1;5,1;0
529;C;MISSIROLI;Sassuolo;5,1;10,1;-5
559;C;GAZZI;Palermo;5,1;4,1;1
703;C;MOUNIER;Atalanta;5;12;-7
173;C;CAPEZZI;Crotone;5;7;-2
434;C;JAJALO;Palermo;5;5;0
775;C;ALVAREZ R;Sampdoria;5;12;-7
2011;C;MIGUEL VELOSO;Genoa;5;10;-5
2074;C;AQUILANI;Sassuolo;5;9;-4
627;C;IONITA;Cagliari;4,3;8,3;-4
176;C;FERNANDEZ M;Milan;4,3;7,3;-3
1976;C;MAZZITELLI;Sassuolo;4,3;1,3;3
1978;C;SENSI;Sassuolo;4,2;5,2;-1
669;C;DONSAH;Bologna;4,1;6,1;-2
644;C;PULGAR;Bologna;4,1;2,1;2
809;C;NINKOVIC;Genoa;4,1;1,1;3
560;C;OBI;Torino;4,1;4,1;0
301;C;PADOIN;Cagliari;4;6;-2
243;C;GAKPE';Chievo;4;6;-2
333;C;CATALDI;Genoa;4;6;-2
528;C;MAGNANELLI;Sassuolo;4;8;-4
1995;C;DJURICIC;Sampdoria;4;3;1
1942;C;EMBALO;Palermo;4;9;-5
2075;C;CRISTOFORO;Fiorentina;3,4;4,4;-1
20;C;CIGARINI;Sampdoria;3,3;11,3;-8
1954;C;BRUNO;Pescara;3,2;2,2;1
2003;C;MURGIA;Lazio;3,2;1,2;2
2076;C;ROG;Napoli;3,2;8,2;-5
2057;C;GUSTAFSON;Torino;3,1;4,1;-1
119;C;RIGONI N;Chievo;3;5;-2
297;C;BUCHEL;Empoli;2,3;6,3;-4
232;C;COFIE;Genoa;2,3;3,3;-1
630;C;SALA;Sampdoria;2,3;4,3;-2
2009;C;LUKIC;Torino;2,3;4,3;-2
700;C;TONEV;Crotone;2,2;7,2;-5
1956;C;MITRITA;Pescara;2,2;2,2;0
650;C;PEPE;Pescara;2,2;4,2;-2
2124;C;ZAJC;Empoli;2,2;3,2;-1
371;C;MAURI J;Empoli;2,1;2,1;0
2072;C;BASTIEN;Chievo;2,1;5,1;-3
2116;C;FARAGO';Cagliari;2,1;4,1;-2
2117;C;KASTANOS;Pescara;2,1;2,1;0
29;C;MIGLIACCIO;Atalanta;1,8;2;0
1933;C;MANDRAGORA;Juventus;1,7;2,3;0
813;C;BALIC;Udinese;1,6;2,2;0
595;C;LUCAS EVANGELISTA;Udinese;1,5;1;1
2113;C;CUBAS;Pescara;1,4;3,4;-2
1913;C;MATHEUS PEREIRA;Juventus;1,3;1,3;0
372;C;MONTOLIVO;Milan;1,3;6,3;-5
502;C;PALOMBO;Sampdoria;1,3;4,3;-3
755;C;LODI;Udinese;1,3;6,3;-5
2066;C;MURIC;Pescara;1,3;5,3;-4
2105;C;BEGHETTO;Genoa;1,3;3,3;-2
1871;C;DEIOLA;Cagliari;1,2;3,2;-2
1915;C;TELLO A;Empoli;1,2;5,2;-4
524;C;BIONDINI;Sassuolo;1,2;4,2;-3
2054;C;CABEZAS;Atalanta;1,2;6,2;-5
2121;C;MELEGONI;Atalanta;1,2;2,2;-1
2100;C;OKWONKWO;Bologna;1,2;1,2;0
2132;C;KOTNIK;Crotone;1,2;3,2;-2
2133;C;VALENCIA;Bologna;1,2;2,2;-1
276;C;BIABIANY;Inter;1,1;6,1;-5
369;C;HONDA;Milan;1,1;8,1;-7
174;C;DIAKHATE;Fiorentina;1,1;1,1;0
1967;C;GERSON;Roma;1,1;8,1;-7
334;C;CRECCO;Lazio;1,1;2,1;-1
60;C;RIZZO;Bologna;1;3;-2
267;C;GNOUKOURI;Udinese;1;2;-1
374;C;POLI;Milan;1;3;-2
2106;C;MOROSINI;Genoa;1;4;-3
