Quotazioni Napoli  - Fantagazzetta;;;;;;
Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.
513;D;ACERBI;Sassuolo;15,1;13,1;2
2016;D;FAZIO;Roma;13;8;5
662;D;ALEX SANDRO;Juventus;13;15;-2
11;D;CONTI;Atalanta;12,3;8,3;4
423;D;RISPOLI;Palermo;12,2;5,2;7
15;D;MASIELLO A;Atalanta;12,2;6,2;6
546;D;BRUNO PERES;Roma;12;13;-1
286;D;BONUCCI;Juventus;12;14;-2
322;D;DE VRIJ;Lazio;11,3;10,3;1
288;D;CHIELLINI;Juventus;11,2;13,2;-2
1847;D;CALDARA;Atalanta;11,2;1,2;10
392;D;KOULIBALY;Napoli;10,2;11,2;-1
492;D;SILVESTRE;Sampdoria;10,1;6,1;4
578;D;DANILO;Udinese;10;7;3
459;D;MANOLAS;Roma;10;11;-1
257;D;MIRANDA;Inter;10;11;-1
319;D;BASTA;Lazio;9,3;5,3;4
464;D;FLORENZI;Roma;9,2;17,2;-8
588;D;WIDMER;Udinese;9,2;10,2;-1
1931;D;BENATIA;Juventus;9,2;12,2;-3
360;D;PALETTA;Milan;9,1;6,1;3
253;D;D'AMBROSIO;Inter;9,1;7,1;2
642;D;ASTORI;Fiorentina;9;8;1
417;D;EMERSON;Roma;8,3;3,3;5
54;D;ROSSETTINI;Torino;8,3;6,3;2
708;D;FELIPE;Udinese;8,2;6,2;2
790;D;SAMIR;Udinese;8,2;1,2;7
798;D;SKRINIAR;Sampdoria;8,2;4,2;4
388;D;ALBIOL;Napoli;8,2;9,2;-1
390;D;GHOULAM;Napoli;8,2;9,2;-1
554;D;ZAPPACOSTA;Torino;8,1;6,1;2
329;D;RADU;Lazio;8,1;5,1;3
292;D;LICHTSTEINER;Juventus;8,1;10,1;-2
695;D;TOLOI;Atalanta;8,1;7,1;1
167;D;RODRIGUEZ GO;Fiorentina;8;14;-6
493;D;ZUKANOVIC;Atalanta;7,3;7,3;0
324;D;HOEDT;Lazio;7,3;3,3;4
1932;D;DANI ALVES;Juventus;7,3;12,3;-5
291;D;ISLA;Cagliari;7,3;5,3;2
706;D;ANSALDI;Inter;7,3;10,3;-3
226;D;IZZO;Genoa;7,3;6,3;1
1952;D;ZAMPANO F;Pescara;7,2;6,2;1
259;D;MURILLO;Inter;7,2;10,2;-3
1891;D;CECCHERINI;Crotone;7,2;5,2;2
49;D;MASINA;Bologna;7,2;8,2;-1
1979;D;BARRECA;Torino;7,1;1,1;6
1895;D;FERRARI G;Crotone;7,1;5,1;2
105;D;GOBBI;Chievo;7,1;5,1;2
285;D;BARZAGLI;Juventus;7;10;-3
294;D;RUGANI;Juventus;7;5;2
99;D;CACCIATORE;Chievo;7;6;1
358;D;DE SCIGLIO;Milan;6,3;7,3;-1
222;D;BURDISSO;Genoa;6,3;6,3;0
166;D;PASQUAL;Empoli;6,3;7,3;-1
104;D;GAMBERINI;Chievo;6,3;6,3;0
1869;D;PISACANE;Cagliari;6,3;2,3;4
2007;D;WALLACE;Lazio;6,2;8,2;-2
552;D;MORETTI;Torino;6,2;6,2;0
656;D;RUDIGER;Roma;6,2;6,2;0
353;D;ABATE;Milan;6,2;9,2;-3
460;D;ROMAGNOLI A;Milan;6,1;9,1;-3
1864;D;BRUNO ALVES;Cagliari;6,1;6,1;0
